N,PROFILE,FOLLOWERS,POSTS,Platform
37,Taylor Swift,47100000,189,YouTube
38,JuegaGerman,46100000,1959,YouTube
39,Badabun,45600000,13775,YouTube
40,Infobells - Hindi,45500000,476,YouTube
41,Fernanfloo,45100000,541,YouTube
42,Felipe Neto,44300000,3507,YouTube
43,BRIGHT SIDE,43900000,4540,YouTube
44,whinderssonnunes,43900000,521,YouTube
45,Katy Perry,43200000,118,YouTube
46,Você Sabia?,43200000,1310,YouTube
47,Alan Walker,42200000,318,YouTube
48,Get Movies,41300000,3960,YouTube
49,A4,41200000,644,YouTube
50,ABS-CBN Entertainment,40500000,179359,YouTube
51,elrubiusOMG,40400000,705,YouTube
52,Rihanna,39500000,79,YouTube
53,Little Baby Bum - Nursery Rhymes & Kids Songs,39500000,1980,YouTube
54,Luisito Comunica,39200000,1119,YouTube
55,<U+041C><U+0430><U+0448><U+0430> <U+0438> <U+041C><U+0435><U+0434><U+0432><U+0435><U+0434><U+044C>,38700000,1196,YouTube
56,TheEllenShow,38300000,14402,YouTube
57,LUCCAS NETO - LUCCAS TOON,37800000,1875,YouTube
58,GR6 EXPLODE,37600000,4177,YouTube
59,One Direction,37400000,157,YouTube
60,Kimberly Loaiza,37200000,206,YouTube
61,Shakira,37100000,287,YouTube
62,Daddy Yankee,36800000,420,YouTube
63,CarryMinati,36200000,178,YouTube
64,Maroon 5,3.60E+07,163,YouTube
65,shfa2 - <U+0634><U+0641><U+0627>,35800000,1348,YouTube
66,shfa,35800000,846,YouTube
67,TEDx Talks,35800000,185002,YouTube
68,Super Simple Songs - Kids Songs,35200000,600,YouTube
69,Masha and The Bear,35100000,934,YouTube
70,VEGETTA777,33400000,7128,YouTube
71,YouTube,33300000,538,YouTube
72,Markiplier,33300000,5198,YouTube
73,ABP NEWS,33200000,224084,YouTube
74,Mikecrack,33200000,1725,YouTube
75,Total Gaming,33200000,1892,YouTube
76,Maria Clara & JP,33100000,626,YouTube
77,Ryan's World,32900000,2197,YouTube
78,SSSniperWolf,32400000,3094,YouTube
79,KHANDESHI MOVIES,3.20E+07,190,YouTube
80,IndiaTV,31900000,237651,YouTube
81,La Granja de Zenón,31500000,557,YouTube
82,GENIAL,31400000,5446,YouTube
83,Selena Gomez,30900000,182,YouTube
84,Luis Fonsi,30900000,121,YouTube
85,Galinha Pintadinha,30800000,62,YouTube
86,Mr Bean,30700000,2657,YouTube
87,CVS 3D Rhymes & Kids Songs,30500000,338,YouTube
88,The Tonight Show Starring Jimmy Fallon,29900000,7890,YouTube
89,Dream,29900000,110,YouTube
90,rezendeevil,29600000,11568,YouTube
91,Spinnin' Records,29600000,10822,YouTube
92,Shawn Mendes,29500000,132,YouTube
93,BabyBus - Kids Songs and Cartoons,29200000,1821,YouTube
94,AuronPlay,29200000,404,YouTube
95,The Weeknd,29100000,123,YouTube
96,Jingle Toons,28600000,228,YouTube
97,Ultra Music,28600000,4664,YouTube
98,jacksepticeye,28600000,4988,YouTube
99,ashish chanchlani vines,28600000,147,YouTube
100,BillionSurpriseToys - English Kids Songs & Cartoon,28500000,511,YouTube
1,Ninja ,18296006,NA,Twitch 
2,auronplay ,13377575,NA,Twitch 
3,Rubius ,12524137,NA,Twitch 
4,Tfue ,11145556,NA,Twitch 
5,shroud ,10244388,NA,Twitch 
6,TheGrefg ,9638800,NA,Twitch 
7,pokimane ,8500996,NA,Twitch 
8,tommyinnit ,7255104,NA,Twitch 
